Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
06월 01일, NC,5회말,카스타노,3 고승민,5 (2-2),좌익수 방면 1루타,"2사 2,3루 1:0",이닝종료 1:2,3.08,0.613,-0.613,66.30%,0.234
06월 02일, NC,6회말,류진욱,3 고승민,3 (1-1),우중간 홈런,2사 만루 4:5,2사 4:9,2.57,0.909,3.209,97.10%,0.211
05월 04일, 삼성,7회초,최하늘,2 고승민,3 (2-0),우익수 방면 1루타,"1사 1,2루 1:2","1사 1,2루 2:2",3.79,0.991,1,43.90%,0.182
05월 09일, 한화,1회말,페냐,2 고승민,3 (0-2),우익수 뒤 홈런,무사 1루 2:0,무사 2:2,1.54,0.973,1.579,54.80%,0.162
05월 03일, 삼성,7회초,임창민,2 고승민,5 (1-2),좌익수 방면 2루타,무사 4:5,무사 2루 4:5,1.73,0.55,0.748,57.80%,0.118
05월 19일, 두산,11회초,최지강,3 고승민,4 (3-0),4구,무사 1루 3:3,"무사 1,2루 3:3",3.44,0.983,0.668,30.20%,0.117
05월 16일, KT,3회초,쿠에바스,2 고승민,3 (0-2),우익수 방면 1루타,"무사 1,2루 1:0","무사 1,3루 2:0",1.74,1.66,1.261,18.80%,0.112
05월 28일, 한화,3회초,문동주,3 고승민,7 (3-2),우익수 방면 1루타,"1사 1,3루 1:1","1사 1,3루 2:1",2.07,1.269,1,32.10%,0.104
05월 10일, LG,3회말,엔스,2 고승민,1 (0-0),우익수 방면 2루타,1사 1루 2:0,"1사 2,3루 2:0",1.39,0.545,1.071,42.70%,0.1
05월 23일, KIA,2회말,윤중현,3 고승민,4 (3-0),중견수 방면 2루타,2사 3루 2:3,2사 2루 2:4,1.22,0.429,0.963,73.90%,0.092
05월 02일, 키움,2회말,김인범,6 고승민,4 (2-1),중견수 방면 3루타,1사 1:0,1사 3루 1:0,0.71,0.283,0.693,49.10%,0.075
05월 08일, 한화,5회말,류현진,2 고승민,3 (0-2),좌익수 방면 2루타,2사 3루 0:2,2사 2루 0:3,0.95,0.432,0.959,88.10%,0.072
05월 25일, 삼성,5회말,최하늘,3 고승민,6 (2-2),우익수 방면 1루타,1사 3:4,1사 3루 3:4,0.63,0.294,0.731,76.10%,0.072
05월 21일, KIA,7회말,최지민,3 고승민,10 (3-2),4구,2사 1:4,2사 1루 1:4,0.22,0.118,1.121,93.70%,0.065
05월 25일, 삼성,1회말,이호성,3 고승민,5 (3-1),우익수 방면 1루타,무사 2루 0:1,무사 1루 0:2,1.02,1.264,0.718,76.00%,0.061
05월 29일, 한화,8회초,이민우,3 고승민,5 (2-2),좌익수 방면 2루타,무사 0:3,무사 2루 0:3,0.88,0.566,0.69,87.70%,0.054
05월 08일, 한화,1회말,류현진,2 고승민,2 (0-1),중견수 방면 1루타,무사 1루 0:0,"무사 1,2루 0:0",1.42,0.973,0.7,63.70%,0.054
05월 09일, 한화,3회말,이충호,2 고승민,5 (3-1),4구,2사 만루 2:5,2사 만루 2:6,1.38,0.952,1,90.40%,0.051
