Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05월 21일, KT,8회말,박영현,4 김영웅,6 (3-2),우중간 홈런,"1사 2,3루 5:2",1사 5:5,2.59,1.59,1.703,56.10%,0.372
05월 11일, NC,7회초,한재승,4 김영웅,3 (2-0),우익수 방면 1루타,2사 만루 1:2,"2사 1,3루 3:2",5.62,0.954,1.613,30.40%,0.345
05월 18일, 한화,5회말,김범수,4 김영웅,9 (3-2),우익수 뒤 홈런,2사 2루 4:4,2사 4:6,1.63,0.395,1.722,79.00%,0.244
05월 09일, KIA,6회말,네일,4 김영웅,2 (1-0),좌익수 뒤 홈런,무사 2:1,무사 2:2,1.57,0.552,1,57.50%,0.183
04월 10일, 롯데,10회초,박진,6 김영웅,1 (0-0),우익수 뒤 홈런,2사 1루 8:7,2사 10:7,0.64,0.236,1.881,3.90%,0.143
04월 10일, 롯데,6회초,전미르,6 김영웅,1 (0-0),우익수 방면 2루타,1사 1루 3:4,"1사 2,3루 3:4",1.94,0.549,1.061,51.90%,0.139
04월 20일, 한화,4회초,황준서,5 김영웅,3 (1-1),우익수 방면 2루타,2사 2루 0:0,2사 2루 1:0,1.44,0.387,1,39.10%,0.129
05월 01일, 두산,6회초,브랜든,6 김영웅,5 (1-2),우익수 방면 1루타,무사 만루 1:2,무사 만루 2:2,3.41,2.43,1,27.10%,0.125
05월 16일, SSG,6회초,김광현,4 김영웅,2 (1-0),좌중간 홈런,무사 1:3,무사 2:3,1.23,0.559,1,66.30%,0.12
04월 07일, KIA,3회초,양현종,5 김영웅,4 (1-2),우익수 방면 2루타,"2사 1,3루 2:1","2사 2,3루 3:1",1.74,0.568,1.054,27.80%,0.108
05월 02일, 두산,2회초,최원준,7 김영웅,1 (0-0),우익수 방면 3루타,2사 3루 0:0,2사 3루 1:0,1.39,0.426,1,40.60%,0.107
04월 06일, KIA,3회초,윤영철,5 김영웅,2 (1-0),우익수 방면 1루타,2사 2루 1:0,2사 1루 2:0,1.15,0.393,0.837,30.50%,0.096
05월 04일, 롯데,1회말,윌커슨,5 김영웅,1 (0-0),중견수 방면 1루타,2사 2루 1:1,2사 1루 1:2,1.14,0.392,0.838,62.50%,0.093
04월 24일, LG,2회말,켈리,6 김영웅,5 (2-2),우중간 홈런,무사 0:1,무사 0:2,0.77,0.54,1,75.00%,0.093
04월 17일, 두산,2회말,김호준,6 김영웅,3 (2-0),우익수 뒤 홈런,무사 0:1,무사 0:2,0.77,0.536,1,75.00%,0.093
05월 12일, NC,7회초,김영규,4 김영웅,3 (1-1),우익수 방면 1루타,"2사 1,2루 4:2","2사 1,3루 5:2",1.14,0.5,1.065,10.30%,0.083
04월 10일, 롯데,9회초,김원중,6 김영웅,2 (0-1),중견수 방면 1루타,무사 7:7,무사 1루 7:7,2.32,0.558,0.423,41.80%,0.082
04월 24일, LG,4회말,켈리,6 김영웅,3 (0-2),우익수 뒤 홈런,1사 0:2,1사 0:3,0.44,0.275,1,85.30%,0.079
04월 13일, NC,8회말,임정호,6 김영웅,5 (1-2),우익수 방면 1루타,1사 1루 4:2,"1사 1,2루 4:2",2.34,0.551,0.443,25.10%,0.079
05월 28일, 키움,4회말,후라도,4 김영웅,3 (0-2),좌익수 포구실책 출루,무사 0:0,무사 2루 0:0,1.07,0.564,0.694,63.40%,0.074
05월 03일, 롯데,9회말,김원중,5 김영웅,4 (1-2),좌익수 뒤 홈런,1사 8:6,1사 8:7,1.19,0.283,1,11.20%,0.067
04월 28일, 키움,4회초,하영민,6 김영웅,6 (3-2),4구,무사 1루 2:2,"무사 1,2루 2:2",1.76,0.966,0.679,39.10%,0.066
05월 09일, KIA,8회말,최지민,4 김영웅,1 (0-0),중견수 방면 1루타,무사 2:2,무사 1루 2:2,1.81,0.552,0.421,67.10%,0.064
05월 29일, 키움,6회말,조상우,5 김영웅,5 (2-2),우익수 뒤 홈런,무사 8:4,무사 8:5,0.74,0.564,1,15.80%,0.064
05월 09일, KIA,2회말,네일,4 김영웅,4 (2-1),우익수 방면 2루타,무사 0:0,무사 2루 0:0,0.92,0.552,0.744,61.40%,0.063
04월 25일, LG,2회말,최원태,6 김영웅,7 (3-2),4구,무사 1루 1:0,"무사 1,2루 1:0",1.65,0.96,0.672,54.40%,0.063
04월 23일, LG,6회말,이우찬,5 김영웅,5 (3-1),4구,"1사 1,3루 3:1",1사 만루 3:1,2.91,1.273,0.398,41.70%,0.062
03월 26일, LG,9회초,유영찬,9 김영웅,1 (0-0),우익수 방면 1루타,1사 3:3,1사 1루 3:3,1.8,0.272,0.262,50.00%,0.06
05월 24일, 롯데,1회초,나균안,4 김영웅,6 (3-2),4구,"1사 1,2루 0:0",1사 만루 0:0,1.93,0.992,0.778,40.30%,0.059
05월 17일, 한화,6회말,장민재,4 김영웅,,1루주자 이성규 : 2루 도루,"2사 1,3루 2:4",2사 3루 2:5,1.06,0.571,0.667,90.50%,0.056
05월 21일, KT,10회말,손동현,4 김영웅,7 (3-2),4구,1사 5:5,1사 1루 5:5,1.8,0.293,0.259,63.50%,0.055
03월 26일, LG,7회초,이우찬,9 김영웅,5 (3-1),투수 땅볼실책 출루,무사 1루 3:2,"무사 1,2루 3:2",1.52,0.947,0.664,21.30%,0.055
03월 29일, SSG,7회말,노경은,9 김영웅,9 (3-2),중견수 뒤 홈런,1사 2루 6:1,1사 6:3,0.54,0.769,1.506,9.60%,0.054
03월 23일, KT,10회초,강건,9 김영웅,2 (0-1),중견수 방면 1루타,2사 만루 4:2,"2사 1,3루 6:2",0.9,0.937,1.604,1.40%,0.054
05월 31일, 한화,1회말,김규연,5 김영웅,3 (1-1),우익수 방면 1루타,"1사 1,2루 0:1",1사 만루 0:1,1.64,0.997,0.832,72.90%,0.05
04월 18일, 두산,1회말,곽빈,5 김영웅,6 (3-2),4구,"1사 1,2루 0:1",1사 만루 0:1,1.64,0.966,0.683,72.90%,0.05
04월 09일, 롯데,4회초,나균안,6 김영웅,2 (1-0),좌익수 방면 1루타,1사 1루 0:1,"1사 1,2루 0:1",1.51,0.534,0.436,57.50%,0.047
05월 29일, 키움,2회말,헤이수스,5 김영웅,1 (0-0),우익수 방면 2루타,1사 1:0,1사 2루 1:0,0.71,0.295,0.493,46.10%,0.045
05월 16일, SSG,4회초,김광현,4 김영웅,5 (3-1),4구,무사 0:2,무사 1루 0:2,1.04,0.559,0.423,68.90%,0.044
06월 01일, 한화,4회말,조동욱,5 김영웅,5 (3-1),4구,무사 3:3,무사 1루 3:3,1.07,0.567,0.418,60.20%,0.042
04월 13일, NC,4회말,하트,6 김영웅,5 (2-2),우익수 방면 1루타,1사 1루 1:1,"1사 1,2루 1:1",1.43,0.551,0.443,60.50%,0.042
04월 10일, 롯데,8회초,김상수,6 김영웅,2 (0-1),중견수 방면 1루타,무사 4:7,무사 1루 4:7,0.88,0.558,0.423,88.90%,0.042
04월 18일, 두산,3회말,곽빈,5 김영웅,1 (0-0),우익수 뒤 홈런,1사 0:4,1사 0:5,0.22,0.276,1,93.00%,0.04
04월 02일, 키움,3회말,김선기,8 김영웅,6 (3-2),4구,무사 0:0,무사 1루 0:0,0.99,0.54,0.42,59.50%,0.04
04월 21일, 한화,4회초,산체스,5 김영웅,3 (2-0),우익수 방면 1루타,1사 1루 0:3,"1사 1,2루 0:3",1.15,0.54,0.436,77.60%,0.039
05월 12일, NC,6회초,이재학,4 김영웅,3 (1-1),우익수 방면 1루타,1사 2:2,1사 1루 2:2,0.98,0.287,0.259,49.70%,0.037
04월 05일, KIA,5회초,크로우,7 김영웅,4 (3-0),4구,1사 0:1,1사 1루 0:1,0.91,0.283,0.263,63.70%,0.036
04월 24일, LG,6회말,켈리,6 김영웅,3 (0-2),중견수 방면 2루타,"무사 1,2루 0:3","무사 2,3루 0:4",0.53,1.627,1.56,97.70%,0.036
03월 29일, SSG,2회말,김광현,9 김영웅,4 (3-0),4구,"2사 1,2루 4:1",2사 만루 4:1,1.59,0.484,0.444,27.60%,0.033
04월 05일, KIA,7회초,이형범,7 김영웅,4 (2-1),중견수 방면 2루타,1사 1루 0:5,"1사 2,3루 0:5",0.44,0.546,1.07,93.60%,0.033
05월 01일, 두산,2회초,브랜든,6 김영웅,7 (3-2),4구,무사 1:0,무사 1루 1:0,0.82,0.548,0.421,36.20%,0.033
05월 30일, 키움,2회말,이종민,5 김영웅,6 (2-2),좌익수 방면 1루타,무사 0:1,무사 1루 0:1,0.77,0.566,0.421,68.90%,0.031
04월 27일, 키움,4회초,후라도,6 김영웅,5 (1-2),중견수 방면 1루타,1사 0:0,1사 1루 0:0,0.78,0.283,0.262,49.70%,0.03
