Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05월 15일, 두산,3회말,최원준,3 나성범,4 (1-2),우중간 홈런,1사 1루 1:0,1사 1:2,1.43,0.549,1.741,65.00%,0.213
05월 26일, 두산,1회말,알칸타라,3 나성범,4 (2-1),우익수 뒤 홈런,1사 1루 0:0,1사 0:2,1.16,0.547,1.747,72.00%,0.17
05월 14일, 두산,2회말,브랜든,5 나성범,4 (2-1),우중간 홈런,무사 1루 3:0,무사 3:2,1.5,0.978,1.578,44.00%,0.155
05월 15일, 두산,4회말,김명신,3 나성범,4 (1-2),좌익수 방면 1루타,2사 만루 1:2,"2사 1,2루 1:4",2.63,0.945,1.557,86.00%,0.153
05월 29일, NC,5회초,하트,3 나성범,1 (0-0),우중간 홈런,2사 4:3,2사 5:3,0.47,0.119,1,27.50%,0.125
05월 17일, NC,9회초,임정호,3 나성범,1 (0-0),좌익수 뒤 홈런,무사 1루 5:4,무사 7:4,0.99,0.981,1.577,3.30%,0.105
05월 17일, NC,7회초,김영규,3 나성범,2 (1-0),중견수 방면 1루타,1사 3루 4:4,1사 1루 5:4,2.63,1.018,0.534,30.30%,0.103
05월 28일, NC,1회초,신민혁,3 나성범,2 (1-0),우익수 방면 2루타,1사 2루 0:0,1사 2루 1:0,1.21,0.792,1,38.50%,0.097
04월 28일, LG,7회초,박명근,2 나성범,7 (3-2),4구,무사 1루 5:7,"무사 1,2루 5:7",2.35,0.966,0.679,66.50%,0.095
05월 31일, KT,1회말,엄상백,3 나성범,1 (0-0),우익수 방면 1루타,1사 2루 1:0,1사 1루 1:1,1.29,0.792,0.764,55.00%,0.086
05월 16일, 두산,3회말,김동주,3 나성범,1 (0-0),좌익수 방면 1루타,1사 1루 2:2,"1사 1,3루 2:2",1.31,0.552,0.71,62.90%,0.072
05월 23일, 롯데,5회초,윌커슨,3 나성범,1 (0-0),중견수 방면 1루타,2사 2루 2:5,2사 1루 3:5,0.98,0.392,0.846,78.70%,0.072
05월 28일, NC,3회초,신민혁,3 나성범,5 (3-1),4구,"무사 1,2루 2:1",무사 만루 2:1,1.74,1.681,0.936,23.30%,0.067
05월 22일, 롯데,1회초,박세웅,3 나성범,3 (1-1),중견수 방면 1루타,1사 1루 0:0,"1사 1,3루 0:0",1.15,0.551,0.701,43.50%,0.063
05월 09일, 삼성,8회초,최성훈,3 나성범,7 (3-2),4구,1사 2:2,1사 1루 2:2,1.39,0.282,0.264,49.80%,0.049
05월 24일, 두산,7회말,곽빈,3 나성범,4 (0-2),중견수 방면 1루타,무사 3:0,무사 1루 3:0,1.07,0.562,0.419,17.30%,0.049
05월 22일, 롯데,9회초,김원중,3 나성범,8 (3-2),4구,1사 1루 1:4,"1사 1,2루 1:4",0.95,0.551,0.443,91.90%,0.046
05월 19일, NC,4회초,이용준,3 나성범,6 (3-2),좌익수 방면 1루타,1사 1루 0:0,"1사 1,2루 0:0",1.44,0.549,0.445,45.40%,0.043
05월 23일, 롯데,3회초,윌커슨,3 나성범,1 (0-0),3루수 방면 내야 안타,1사 1루 2:4,"1사 1,2루 2:4",1.29,0.549,0.44,67.10%,0.042
05월 21일, 롯데,4회초,반즈,4 나성범,4 (2-1),좌익수 방면 1루타,무사 1:0,무사 1루 1:0,0.9,0.562,0.421,33.90%,0.036
05월 09일, 삼성,3회초,이승현,3 나성범,5 (3-1),4구,1사 1루 2:1,"1사 1,2루 2:1",1.14,0.546,0.453,35.00%,0.034
05월 08일, 삼성,3회초,원태인,3 나성범,5 (3-1),4구,"2사 1,2루 0:0",2사 만루 0:0,1.87,0.497,0.447,47.40%,0.034
05월 24일, 두산,4회말,곽빈,3 나성범,2 (0-1),좌익수 방면 1루타,1사 3:0,1사 1루 3:0,0.65,0.294,0.255,21.40%,0.028
05월 24일, 두산,8회말,김택연,3 나성범,7 (3-2),4구,2사 1루 3:0,"2사 1,2루 3:0",0.74,0.24,0.268,8.20%,0.027
05월 08일, 삼성,12회초,이승민,3 나성범,8 (3-2),4구,"무사 1,3루 2:2",무사 만루 2:2,2.43,1.831,0.635,16.20%,0.027
06월 01일, KT,7회말,김민수,3 나성범,2 (1-0),우익수 방면 1루타,1사 1:2,1사 1루 1:2,0.56,0.297,0.255,79.20%,0.02
