Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
04월 26일, KIA,6회말,곽도규,2 박해민,2 (0-1),우익수 방면 1루타,"2사 1,2루 6:5",2사 2루 6:7,2.98,0.488,1.899,72.90%,0.348
05월 26일, NC,5회말,카스타노,2 박해민,1 (0-0),중견수 방면 3루타,1사 만루 3:2,1사 3루 3:5,3.81,1.775,2.25,85.00%,0.291
04월 02일, NC,4회말,하트,1 박해민,1 (0-0),좌익수 방면 1루타,"2사 2,3루 2:0",2사 1루 2:2,2.56,0.608,1.618,52.80%,0.207
03월 23일, 한화,4회말,류현진,1 박해민,1 (0-0),중견수 방면 1루타,"2사 1,3루 2:2","2사 1,3루 2:3",2.18,0.541,1,68.80%,0.128
04월 26일, KIA,5회말,네일,2 박해민,4 (1-2),우익수 방면 1루타,1사 만루 5:1,"1사 1,2루 5:3",2.87,1.741,1.247,34.10%,0.124
04월 05일, KT,6회말,이상동,1 박해민,7 (3-2),중견수 방면 1루타,2사 3루 7:5,2사 1루 7:6,1.87,0.433,0.796,34.60%,0.114
05월 12일, 롯데,4회초,임준섭,1 박해민,3 (0-2),헛스윙 삼진,1사 3:3,2사 3:3,0.81,0.287,0.828,54.70%,0.108
03월 24일, 한화,3회말,페냐,1 박해민,7 (3-2),좌익수 방면 1루타,2사 3루 0:0,2사 1루 0:1,1.54,0.392,0.829,64.70%,0.105
04월 21일, SSG,4회초,오원석,7 박해민,1 (0-0),우익수 방면 2루타,"무사 2,3루 0:4",무사 2루 2:4,1.55,2.177,1.089,66.40%,0.103
04월 10일, KIA,2회초,이의리,2 박해민,8 (3-2),4구,1사 3:0,1사 1루 3:0,0.49,0.275,1.261,21.70%,0.099
04월 14일, 두산,2회초,김동주,8 박해민,8 (3-2),우익수 방면 2루타,무사 1루 1:0,"무사 2,3루 1:0",1.33,0.986,1.3,26.70%,0.095
04월 11일, KIA,1회초,크로우,2 박해민,2 (0-1),우익수 방면 1루타,무사 1루 0:0,"무사 1,3루 0:0",1.44,0.946,0.89,37.60%,0.089
05월 04일, 두산,5회말,최준호,2 박해민,1 (0-0),우익수 방면 1루타,"1사 1,2루 3:1",1사 만루 3:1,2.85,0.999,0.797,42.90%,0.088
04월 07일, KT,1회말,김민,2 박해민,7 (3-2),우익수 방면 1루타,무사 1루 0:0,"무사 1,3루 0:0",1.42,0.973,0.934,67.10%,0.088
05월 16일, 키움,3회말,후라도,2 박해민,7 (2-2),중견수 방면 1루타,무사 2루 3:1,"무사 1,3루 3:1",1.52,1.288,0.662,47.50%,0.081
05월 02일, NC,3회초,하트,1 박해민,6 (2-2),우익수 방면 1루타,"무사 1,2루 0:0",무사 만루 0:0,2.09,1.666,0.78,31.80%,0.08
04월 28일, KIA,3회말,크로우,1 박해민,3 (2-0),우익수 방면 1루타,1사 1루 3:1,"1사 1,3루 3:1",1.39,0.541,0.72,40.10%,0.074
04월 17일, 롯데,9회말,김원중,8 박해민,6 (3-2),중견수 방면 1루타,무사 5:5,무사 1루 5:5,2.26,0.567,0.422,71.10%,0.074
05월 26일, NC,4회말,카스타노,2 박해민,5 (2-2),2루수 방면 내야 안타,무사 1루 3:0,"무사 1,2루 3:0",1.67,0.98,0.664,32.00%,0.068
04월 09일, KIA,6회초,네일,2 박해민,1 (0-0),투수 방면 번트 내야 안타,1사 0:0,1사 2루 0:0,0.98,0.287,0.495,47.10%,0.063
05월 07일, SSG,6회말,이로운,2 박해민,7 (2-2),유격수 방면 내야 안타,무사 3:1,무사 1루 3:1,1.38,0.562,0.422,31.40%,0.059
04월 25일, 삼성,7회초,이승민,2 박해민,2 (0-1),우익수 방면 1루타,1사 1루 2:0,"1사 2,3루 2:0",0.79,0.538,1.075,12.30%,0.057
05월 17일, KT,1회초,원상현,2 박해민,8 (2-2),중견수 방면 1루타,무사 1루 0:0,"무사 1,2루 0:0",1.44,0.977,0.683,41.00%,0.055
05월 31일, 두산,8회초,이영하,8 박해민,7 (2-2),우익수 방면 3루타,"2사 1,2루 4:1",2사 3루 6:1,0.5,0.514,1.909,1.70%,0.054
04월 26일, KIA,1회말,네일,2 박해민,1 (0-0),우익수 방면 1루타,무사 1루 0:0,"무사 1,2루 0:0",1.42,0.966,0.679,63.70%,0.054
05월 16일, 키움,8회말,김재웅,2 박해민,6 (3-2),4구,2사 1루 6:5,"2사 1,2루 6:5",2.43,0.236,0.266,28.40%,0.053
04월 16일, 롯데,2회말,윌커슨,8 박해민,6 (3-2),4구,"1사 1,2루 0:1",1사 만루 0:1,1.69,0.971,0.678,74.10%,0.051
04월 09일, KIA,6회초,네일,2 박해민,,2루주자 박해민 : 3루 도루,1사 2루 0:0,1사 3루 0:0,1.87,0.782,0.222,42.30%,0.048
04월 19일, SSG,5회초,한두솔,7 박해민,5 (1-2),좌익수 방면 1루타,무사 1:1,무사 1루 1:1,1.19,0.54,0.422,45.30%,0.047
06월 01일, 두산,5회초,알칸타라,8 박해민,7 (1-2),2루수 방면 내야 안타,무사 2:2,무사 1루 2:2,1.19,0.567,0.418,45.30%,0.047
03월 31일, 키움,4회초,헤이수스,1 박해민,3 (0-2),좌익수 방면 1루타,무사 0:2,무사 1루 0:2,1.04,0.54,0.42,68.90%,0.044
04월 19일, SSG,7회초,송영진,7 박해민,1 (0-0),우익수 방면 2루타,무사 3:1,무사 2루 3:1,0.6,0.54,0.726,13.80%,0.043
05월 03일, 두산,1회말,김유성,2 박해민,5 (2-2),좌익수 방면 2루타,1사 1:0,1사 2루 1:0,0.65,0.282,0.502,46.40%,0.042
04월 19일, SSG,5회초,한두솔,7 박해민,4 (1-2),2루주자 박해민 : 3루 도루,무사 2루 1:1,1사 3루 1:1,1.66,0.765,0.237,43.40%,0.04
03월 24일, 한화,6회말,페냐,1 박해민,3 (1-1),우익수 방면 1루타,1사 3:1,1사 1루 3:1,0.96,0.271,0.26,26.00%,0.04
03월 28일, 삼성,3회말,이승민,1 박해민,2 (0-1),중견수 방면 1루타,1사 1루 0:0,"1사 1,2루 0:0",1.31,0.538,0.428,59.70%,0.039
03월 27일, 삼성,5회말,원태인,1 박해민,6 (2-2),우익수 방면 1루타,1사 2:1,1사 1루 2:1,0.97,0.275,0.262,41.60%,0.038
04월 04일, NC,1회말,김시훈,1 박해민,5 (3-1),4구,무사 1:0,무사 1루 1:0,0.92,0.529,0.417,48.30%,0.038
04월 04일, NC,2회말,김시훈,1 박해민,6 (3-2),4구,1사 1루 6:3,"1사 1,2루 6:3",1.16,0.531,0.443,28.80%,0.038
03월 29일, 키움,5회초,후라도,1 박해민,1 (0-0),포수 방면 번트 내야 안타,1사 1루 1:0,"1사 1,2루 1:0",1.25,0.537,0.434,32.10%,0.037
