Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
04월 30일, SSG,3회말,이기순,4 노시환,4 (2-1),좌익수 뒤 홈런,2사 만루 1:0,2사 1:4,3.52,0.935,3.175,82.40%,0.36
04월 16일, NC,7회초,김재열,4 노시환,1 (0-0),우익수 방면 1루타,2사 만루 2:3,"2사 1,3루 4:3",5.62,0.914,1.648,30.40%,0.345
05월 14일, NC,8회말,이용찬,4 노시환,4 (1-2),우익수 방면 2루타,2사 2루 5:4,2사 2루 5:5,3.49,0.39,1,58.00%,0.319
05월 22일, LG,7회말,김대현,3 노시환,5 (2-2),우중간 홈런,1사 5:4,1사 5:5,1.41,0.292,1,54.90%,0.238
03월 28일, SSG,3회초,오원석,4 노시환,4 (1-2),좌익수 뒤 홈런,2사 1루 0:0,2사 2:0,0.91,0.226,1.882,31.50%,0.215
05월 01일, SSG,1회말,박종훈,4 노시환,4 (2-1),중견수 뒤 홈런,2사 1루 0:0,2사 0:2,0.79,0.239,1.879,70.90%,0.186
05월 18일, 삼성,8회초,임창민,3 노시환,2 (0-1),2루수 방면 1루타,"1사 1,3루 5:7","1사 1,3루 6:7",3.39,1.261,1,58.80%,0.175
04월 28일, 두산,2회말,최준호,4 노시환,3 (2-0),유격수 포구실책 출루,2사 만루 5:2,"2사 1,3루 5:4",2.92,0.935,1.638,44.10%,0.165
03월 24일, LG,8회초,백승현,4 노시환,2 (1-0),중견수 방면 1루타,"2사 1,2루 3:2","2사 1,2루 4:2",1.72,0.491,1,13.80%,0.121
04월 04일, 롯데,4회말,윌커슨,4 노시환,3 (1-1),좌중간 홈런,1사 2:0,1사 2:1,0.8,0.283,1,39.50%,0.117
04월 19일, 삼성,3회말,이호성,4 노시환,2 (0-1),좌익수 방면 1루타,"2사 1,3루 0:0","2사 1,2루 0:1",2,0.569,0.912,66.50%,0.109
03월 30일, KT,3회말,엄상백,4 노시환,2 (0-1),좌익수 방면 2루타,1사 1루 0:1,1사 2루 0:2,1.07,0.531,1.237,78.10%,0.109
05월 28일, 롯데,5회말,박세웅,3 노시환,5 (1-2),좌익수 방면 1루타,"무사 1,2루 3:2",무사 만루 3:2,2.81,1.67,0.954,65.60%,0.106
04월 05일, 키움,4회초,하영민,4 노시환,1 (0-0),우익수 방면 3루타,무사 1:0,무사 3루 1:0,0.9,0.55,0.996,27.80%,0.096
04월 14일, KIA,6회말,네일,4 노시환,2 (1-0),우익수 방면 1루타,무사 1루 2:1,"무사 1,2루 2:1",2.56,0.98,0.664,55.00%,0.094
04월 21일, 삼성,3회말,코너,4 노시환,2 (0-1),중견수 방면 1루타,"1사 2,3루 0:1",1사 1루 0:3,1.37,1.607,0.933,84.40%,0.094
04월 12일, KIA,6회말,윤영철,3 노시환,2 (0-1),좌익수 방면 2루타,무사 3:1,무사 2루 3:1,1.38,0.562,0.732,34.50%,0.091
03월 31일, KT,2회말,벤자민,4 노시환,3 (1-1),좌익수 뒤 홈런,"2사 1,3루 0:4",2사 0:7,0.67,0.541,2.563,96.50%,0.084
05월 24일, SSG,3회초,앤더슨,3 노시환,2 (1-0),우익수 뒤 홈런,무사 5:3,무사 6:3,0.69,0.562,1,20.20%,0.083
04월 11일, 두산,1회초,브랜든,3 노시환,3 (1-1),중견수 방면 1루타,1사 2루 0:0,1사 1루 1:0,1.21,0.792,0.759,40.00%,0.082
05월 18일, 삼성,1회초,레예스,3 노시환,9 (3-2),중견수 방면 1루타,1사 2루 0:0,1사 1루 1:0,1.21,0.797,0.752,40.00%,0.082
05월 22일, LG,5회말,엔스,3 노시환,4 (1-2),3루수 포구실책 출루,무사 3:3,무사 2루 3:3,1.17,0.56,0.708,64.80%,0.082
05월 25일, SSG,4회초,오원석,3 노시환,4 (1-2),우익수 방면 2루타,무사 0:1,무사 2루 0:1,1.14,0.563,0.7,54.90%,0.077
05월 10일, 키움,2회말,하영민,4 노시환,3 (1-1),3루수 야수선택으로 출루,2사 만루 0:2,2사 만루 0:3,1.96,0.959,1,83.50%,0.07
05월 22일, LG,8회말,유영찬,3 노시환,2 (1-0),좌익수 방면 1루타,"2사 1,3루 5:6","2사 1,2루 5:7",1.12,0.572,0.934,93.80%,0.07
04월 06일, 키움,2회초,헤이수스,4 노시환,4 (2-1),우익수 뒤 홈런,무사 0:4,무사 1:4,0.66,0.529,1,78.20%,0.064
05월 31일, 삼성,3회초,김대우,3 노시환,2 (1-0),우익수 방면 1루타,"1사 1,2루 1:4",1사 만루 1:4,1.95,0.997,0.832,69.60%,0.063
05월 17일, 삼성,9회초,오승환,3 노시환,5 (3-1),4구,"1사 2,3루 4:7",1사 만루 4:7,2.23,1.591,0.191,83.50%,0.058
04월 27일, 두산,1회말,박정수,4 노시환,4 (1-2),좌익수 방면 1루타,"1사 1,2루 0:0",1사 만루 0:0,1.91,0.972,0.733,64.30%,0.058
05월 23일, LG,7회말,김진성,3 노시환,5 (2-2),좌익수 방면 1루타,1사 5:4,1사 1루 5:4,1.41,0.292,0.257,36.50%,0.054
04월 27일, 두산,2회말,박정수,4 노시환,2 (0-1),중견수 방면 1루타,2사 만루 0:4,이닝종료 0:6,1.04,0.919,-0.919,94.20%,0.053
05월 02일, SSG,2회말,오원석,4 노시환,,1루주자 김태연 : 폭투로 2루 진루,"1사 1,2루 2:0","1사 2,3루 2:0",2.2,1.001,0.579,43.30%,0.052
04월 27일, 두산,4회말,김명신,4 노시환,1 (0-0),우익수 방면 1루타,"2사 1,3루 4:7","2사 1,3루 4:8",0.84,0.563,1,91.50%,0.051
04월 07일, 키움,4회초,김선기,4 노시환,2 (1-0),중견수 방면 1루타,무사 1:1,무사 1루 1:1,1.08,0.552,0.423,45.70%,0.043
04월 25일, KT,4회초,원상현,3 노시환,5 (3-1),4구,무사 0:0,무사 1루 0:0,1.08,0.54,0.42,45.70%,0.043
05월 02일, SSG,2회말,오원석,4 노시환,7 (2-2),중견수 방면 1루타,무사 2:0,무사 1루 2:0,0.97,0.562,0.421,37.80%,0.041
04월 17일, NC,2회초,신민혁,4 노시환,5 (1-2),좌익수 방면 1루타,무사 0:0,무사 1루 0:0,0.93,0.566,0.421,46.20%,0.038
04월 23일, KT,5회초,육청명,3 노시환,2 (1-0),중견수 방면 1루타,2사 1루 3:4,"2사 1,3루 3:4",1.16,0.223,0.344,64.00%,0.038
04월 23일, KT,4회초,육청명,3 노시환,1 (0-0),2루수 방면 1루타,무사 0:3,무사 1루 0:3,0.88,0.541,0.423,78.00%,0.038
03월 24일, LG,2회초,임찬규,4 노시환,8 (3-2),4구,무사 0:0,무사 1루 0:0,0.93,0.529,0.417,46.20%,0.038
03월 23일, LG,2회초,엔스,4 노시환,5 (3-1),4구,무사 0:0,무사 1루 0:0,0.93,0.529,0.417,46.20%,0.038
04월 02일, 롯데,2회말,나균안,4 노시환,7 (3-2),4구,무사 0:0,무사 1루 0:0,0.92,0.542,0.419,58.80%,0.037
04월 21일, 삼성,2회말,코너,4 노시환,6 (3-2),4구,무사 0:0,무사 1루 0:0,0.92,0.54,0.422,58.80%,0.037
05월 18일, 삼성,3회초,레예스,3 노시환,4 (1-2),우익수 방면 1루타,1사 1루 1:4,"1사 1,2루 1:4",1.11,0.549,0.445,75.90%,0.037
04월 10일, 두산,1회초,알칸타라,3 노시환,6 (3-2),4구,1사 1루 0:0,"1사 1,2루 0:0",1.15,0.552,0.448,46.20%,0.036
04월 12일, KIA,1회말,윤영철,3 노시환,2 (0-1),중견수 방면 1루타,1사 1루 0:0,"1사 1,2루 0:0",1.16,0.553,0.448,58.50%,0.035
05월 25일, SSG,8회초,박민호,3 노시환,5 (3-1),4구,무사 2:1,무사 1루 2:1,0.9,0.563,0.418,21.80%,0.034
05월 09일, 롯데,1회초,나균안,4 노시환,2 (0-1),우익수 방면 1루타,1사 1루 1:0,"1사 1,2루 1:0",1.05,0.546,0.453,36.80%,0.032
04월 07일, 키움,9회초,김재웅,4 노시환,3 (0-2),우익수 방면 1루타,2사 3:3,2사 1루 3:3,1.32,0.113,0.117,57.30%,0.031
04월 25일, KT,4회초,원상현,3 노시환,,1루주자 노시환 : 폭투로 2루 진루,무사 1루 0:0,무사 2루 0:0,1.76,0.961,0.309,42.60%,0.031
05월 11일, 키움,6회말,헤이수스,4 노시환,9 (2-2),좌익수 방면 1루타,1사 3:0,1사 1루 3:0,0.7,0.285,0.261,16.20%,0.031
05월 23일, LG,6회말,임찬규,3 노시환,3 (0-2),유격수 방면 2루타,1사 5:1,1사 2루 5:1,0.47,0.292,0.501,10.60%,0.03
05월 18일, 삼성,8회초,임창민,3 노시환,,1루주자 노시환 : 2루 도루,"2사 1,3루 6:7","2사 2,3루 6:7",4.4,0.568,0.047,72.00%,0.028
03월 26일, SSG,8회초,최민준,4 노시환,3 (1-1),좌중간 홈런,1사 1루 4:0,1사 6:0,0.18,0.531,1.74,0.90%,0.026
