Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05월 24일, KIA,9회초,정해영,4 양의지,1 (0-0),좌중간 홈런,1사 1루 3:5,1사 5:5,2.09,0.549,1.745,55.90%,0.356
03월 23일, NC,8회초,류진욱,3 양의지,5 (1-2),우익수 방면 2루타,2사 3루 2:2,2사 2루 3:2,3.26,0.392,0.988,26.60%,0.251
04월 07일, 롯데,8회초,전미르,3 양의지,4 (2-1),우익수 방면 2루타,"무사 2,3루 2:4",무사 2루 4:4,3.36,2.263,1.04,36.70%,0.243
04월 19일, 키움,4회말,손현기,3 양의지,6 (2-2),우익수 방면 2루타,1사 만루 6:4,"1사 2,3루 6:6",3.54,1.679,1.933,66.40%,0.226
04월 10일, 한화,1회말,문동주,3 양의지,3 (1-1),좌익수 뒤 홈런,"무사 1,2루 2:0",무사 2:3,2.08,1.66,1.898,64.70%,0.201
05월 30일, KT,4회말,한차현,3 양의지,4 (1-2),좌중간 홈런,1사 2루 0:0,1사 0:2,1.5,0.785,1.513,77.40%,0.191
05월 16일, KIA,7회초,전상현,1 양의지,5 (1-2),중견수 방면 1루타,"무사 1,2루 2:5","무사 1,3루 3:5",2.64,1.66,1.261,62.20%,0.16
05월 03일, LG,3회초,엔스,4 양의지,2 (1-0),좌익수 방면 1루타,"1사 2,3루 1:1",1사 2루 3:1,1.7,1.616,1.169,27.00%,0.133
04월 04일, SSG,6회초,최민준,3 양의지,3 (0-2),좌익수 방면 2루타,1사 2루 0:2,1사 2루 1:2,1.71,0.768,1,63.30%,0.128
04월 27일, 한화,3회초,산체스,3 양의지,6 (1-2),좌익수 방면 2루타,1사 만루 1:6,"1사 2,3루 3:6",1.92,1.705,1.901,71.60%,0.127
03월 26일, KT,4회초,벤자민,3 양의지,4 (1-2),좌익수 뒤 홈런,무사 1:3,무사 2:3,1.04,0.529,1,62.50%,0.108
04월 13일, LG,3회말,최원태,3 양의지,3 (1-1),중견수 방면 1루타,"1사 1,2루 0:0","1사 1,2루 0:1",2.15,0.992,1,70.40%,0.107
05월 07일, 키움,2회초,이종민,4 양의지,2 (0-1),좌익수 뒤 홈런,무사 0:0,무사 1:0,0.93,0.552,1,39.50%,0.105
04월 21일, 키움,9회말,주승우,3 양의지,2 (0-1),우익수 방면 2루타,2사 1:0,2사 2루 1:0,1.81,0.108,0.276,14.30%,0.096
04월 14일, LG,7회말,이우찬,3 양의지,2 (0-1),중견수 방면 1루타,"무사 2,3루 4:5",무사 1루 4:7,1.32,1.67,1.316,95.10%,0.091
04월 28일, 한화,5회초,장지수,3 양의지,6 (2-2),중견수 방면 1루타,2사 만루 9:6,"2사 1,2루 11:6",1.49,0.935,1.553,6.20%,0.087
04월 13일, LG,5회말,최원태,3 양의지,7 (3-2),우익수 방면 1루타,무사 1루 1:2,"무사 1,3루 1:2",1.34,0.981,0.916,82.70%,0.084
04월 07일, 롯데,10회초,김상수,3 양의지,5 (3-1),4구,무사 6:6,무사 1루 6:6,2.32,0.551,0.422,41.80%,0.082
04월 14일, LG,3회말,손주영,3 양의지,,2루주자 양석환 : 포일로 3루 진루,"2사 2,3루 2:3",2사 3루 2:4,1.82,0.604,0.828,76.00%,0.082
03월 27일, KT,3회초,고영표,3 양의지,2 (1-0),우익수 방면 1루타,"무사 1,3루 1:0","무사 1,3루 2:0",1.44,1.84,1,18.80%,0.077
04월 26일, 한화,4회초,황준서,3 양의지,3 (1-1),좌중간 홈런,2사 1루 4:0,2사 6:0,0.33,0.223,1.885,5.40%,0.077
05월 08일, 키움,3회초,김인범,4 양의지,2 (1-0),좌익수 방면 1루타,"1사 1,3루 0:0","1사 1,2루 1:0",2.07,1.257,0.743,35.00%,0.076
04월 09일, 한화,7회말,한승혁,3 양의지,6 (3-2),4구,1사 1루 3:2,"1사 1,2루 3:2",2.58,0.549,0.451,44.00%,0.075
04월 23일, NC,4회말,신민혁,3 양의지,3 (2-0),좌익수 방면 1루타,무사 1루 1:0,"무사 1,2루 1:0",1.97,0.964,0.674,54.80%,0.074
05월 15일, KIA,5회초,네일,4 양의지,5 (2-2),중견수 방면 1루타,2사 2루 2:5,2사 1루 3:5,0.98,0.393,0.842,78.70%,0.072
03월 29일, KIA,5회말,장현식,3 양의지,8 (3-2),2루수 포구실책 출루,무사 1루 2:2,"무사 1,2루 2:2",1.88,0.953,0.663,68.10%,0.068
05월 01일, 삼성,1회말,이호성,3 양의지,3 (2-0),중견수 방면 1루타,1사 1루 1:0,"1사 1,3루 1:0",1.23,0.543,0.719,51.40%,0.066
05월 25일, KIA,2회초,양현종,4 양의지,2 (0-1),좌익수 방면 2루타,무사 0:0,무사 2루 0:0,0.93,0.563,0.7,43.70%,0.063
04월 09일, 한화,1회말,산체스,3 양의지,3 (1-1),우익수 방면 1루타,1사 1루 0:0,"1사 1,3루 0:0",1.16,0.549,0.714,61.30%,0.063
05월 14일, KIA,5회초,양현종,4 양의지,1 (0-0),좌익수 방면 1루타,1사 3루 3:2,1사 1루 4:2,1.55,1.014,0.533,24.40%,0.062
06월 01일, LG,6회말,켈리,3 양의지,4 (2-1),좌익수 방면 1루타,1사 1루 4:2,"1사 1,2루 4:2",1.85,0.552,0.442,32.00%,0.06
04월 14일, LG,3회말,손주영,3 양의지,5 (2-2),중견수 방면 1루타,무사 1루 2:2,"무사 1,2루 2:2",1.61,0.986,0.684,65.40%,0.06
06월 02일, LG,8회말,최동환,3 양의지,5 (2-2),좌익수 방면 1루타,1사 1루 4:1,"1사 1,2루 4:1",1.38,0.552,0.442,14.40%,0.055
03월 29일, KIA,7회말,최지민,3 양의지,5 (3-1),3루수 포구실책 출루,1사 3:2,1사 1루 3:2,1.41,0.276,0.261,36.50%,0.054
04월 16일, 삼성,6회초,코너,3 양의지,7 (3-2),4구,무사 2루 2:5,"무사 1,2루 2:5",1.46,1.256,0.422,75.70%,0.051
05월 07일, 키움,3회초,이종민,4 양의지,3 (1-1),좌익수 뒤 홈런,1사 4:0,1사 5:0,0.27,0.283,1,9.80%,0.05
05월 12일, KT,1회말,육청명,4 양의지,2 (0-1),좌익수 방면 1루타,무사 2루 0:2,무사 1루 0:3,0.82,1.299,0.68,82.70%,0.05
05월 29일, KT,4회말,이상동,3 양의지,1 (0-0),중견수 방면 1루타,2사 3루 3:6,2사 1루 3:7,0.68,0.431,0.813,90.70%,0.048
03월 24일, NC,9회초,이용찬,3 양의지,3 (2-0),중견수 뒤 홈런,2사 5:3,2사 6:3,0.16,0.104,1,3.90%,0.048
03월 29일, KIA,4회말,이의리,3 양의지,5 (1-2),좌익수 방면 1루타,무사 2:0,무사 1루 2:0,1.13,0.536,0.417,35.40%,0.048
04월 28일, 한화,4회초,문동주,3 양의지,3 (2-0),중견수 방면 1루타,1사 1루 6:6,"1사 1,2루 6:6",1.44,0.541,0.447,45.40%,0.043
06월 01일, LG,4회말,켈리,3 양의지,4 (2-1),좌익수 방면 1루타,무사 2:2,무사 1루 2:2,1.07,0.567,0.418,60.20%,0.042
04월 10일, 한화,4회말,황준서,3 양의지,5 (3-1),중견수 방면 1루타,"1사 1,2루 4:6",1사 만루 4:6,1.28,1,0.774,85.10%,0.038
05월 04일, LG,6회초,손주영,4 양의지,5 (2-2),좌익수 방면 1루타,무사 3:2,무사 1루 3:2,0.97,0.551,0.422,30.00%,0.038
05월 28일, KT,4회말,쿠에바스,4 양의지,3 (0-2),우익수 방면 1루타,1사 3:1,1사 1루 3:1,0.8,0.295,0.254,31.00%,0.032
04월 21일, 키움,8회말,김재웅,3 양의지,2 (0-1),좌익수 방면 1루타,무사 1루 8:3,"무사 1,2루 8:3",0.65,0.96,0.672,6.60%,0.03
04월 06일, 롯데,4회초,박세웅,3 양의지,8 (3-2),4구,무사 0:4,무사 1루 0:4,0.67,0.552,0.423,85.10%,0.03
04월 26일, 한화,3회초,황준서,3 양의지,6 (3-2),4구,무사 2루 1:0,"무사 1,2루 1:0",1.17,1.27,0.362,30.00%,0.027
05월 19일, 롯데,8회말,전미르,4 양의지,6 (3-2),4구,2사 3:3,2사 1루 3:3,1.03,0.118,0.121,55.00%,0.024
03월 27일, KT,4회초,고영표,3 양의지,3 (1-1),우익수 방면 1루타,1사 3루 7:3,1사 1루 8:3,0.58,0.99,0.544,7.60%,0.023
05월 02일, 삼성,6회말,원태인,4 양의지,1 (0-0),중견수 방면 1루타,2사 2:1,2사 1루 2:1,0.75,0.111,0.115,34.60%,0.023
